ciiu,descripcion_ciiu
8522,Enseñanza secundaria técnica y vocacional (escuelas de educación secundaria técnica del sector privado)
8549,Otros tipos de enseñanza n.c.p. (escuelas del sector privado que combinan diversos niveles de educación)
8530,Enseñanza superior (escuelas de postbachillerato del sector privado)
8542,Enseñanza cultural (escuelas de arte del sector privado)
8541,Enseñanza deportiva y recreativa (escuelas de deporte del sector privado)
8550,Actividades de apoyo a la enseñanza 
8620,Actividades de médicos y odontólogos (consultorios de medicina general del sector privado)
8690,Otras actividades de atención de la salud humana (consultorios de quiropráctica del sector privado)
8610,Actividades de hospitales (hospitales generales del sector privado)
8710,"Actividades de atención de enfermería en instituciones (residencias del sector privado con cuidados de enfermeras para enfermos convalecientes, en rehabilitación, incurables y terminales)"
8720,"Actividades de atención en instituciones para personas con retraso mental, enfermos mentales y toxicómanos (residencias del sector privado para el cuidado de personas con problemas de retardo mental)"
8730,Actividades de atención en instituciones para personas de edad y personas con discapacidad (asilos y otras residencias del sector privado para el cuidado de ancianos)
8790,Otras actividades de atención en instituciones (orfanatos y otras residencias de asistencia social del sector privado)
8890,Otras actividades de asistencia social sin alojamiento (servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector privado)
8810,Actividades de asistencia social sin alojamiento para personas de edad y personas con discapacidad (centros del sector privado dedicados a la atención y cuidado diurno de ancianos y personas con discapacidad)
9000,"Actividades creativas, artísticas y de entretenimiento (compañías de teatro del sector privado)"
9329,Otras actividades de esparcimiento y recreativas n.c.p. (espectáculos de carnavales del sector privado)
9311,Gestión de instalaciones deportivas (presentación de espectáculos deportivos)
9319,Otras actividades deportivas (deportistas profesionales)
9312,Actividades de clubes deportivos (equipos deportivos profesionales)
3319,Reparación de otros tipos de equipo (restauración de instrumentos musicales antiguos)
9102,Actividades de museos y conservación de lugares y edificios históricos (museos del sector privado)
9103,Actividades de jardines botánicos y zoológicos y de reservas naturales (jardines botánicos y zoológicos del sector privado)
9321,Actividades de parques de atracciones y parques temáticos (parques de diversiones y temáticos del sector privado)
9200,Actividades de juegos de azar y apuestas (casinos)
5510,Actividades de alojamiento para estancias cortas (hoteles con otros servicios integrados)
5520,"Actividades de campamentos, parques de vehículos recreativos y parques de caravanas "
5590,Otras actividades de alojamiento (pensiones y casas de huéspedes)
5629,Otras actividades de servicio de comidas (servicios de comedor para empresas e instituciones)
5621,Suministro de comidas por encargo 
5610,Actividades de restaurantes y de servicio móvil de comidas (servicios de preparación de alimentos para consumo inmediato en unidades móviles)
5630,Actividades de servicio de bebidas (servicios de preparación de bebidas en unidades móviles)
4520,Mantenimiento y reparación de vehículos automotores (reparación mecánica en general de automóviles y camiones)
9521,Reparación de aparatos electrónicos de consumo 
3312,"Reparación de maquinaria (reparación de fotocopiadoras, máquinas de escribir, calculadoras, básculas y balanzas)"
3313,"Reparación de equipo electrónico y óptico (reparación de microscopios, equipo médico electrónico y equipo de precisión)"
9511,Reparación de ordenadores (computadoras) y equipo periférico 
9512,Reparación de equipo de comunicaciones 
3311,Reparación de productos elaborados de metal (reparación de calderas y tanques de metal)
3314,Reparación de equipo eléctrico 
9522,Reparación de aparatos de uso doméstico y equipo doméstico y de jardinería (reparación y mantenimiento de aparatos eléctricos para el hogar y de uso personal)
9524,Reparación de muebles y accesorios domésticos 
9523,Reparación de calzado y de artículos de cuero 
9529,Reparación de otros efectos personales y enseres domésticos (cerrajerías)
9602,Peluquería y otros tratamientos de belleza 
9609,Otras actividades de servicios personales n.c.p. (baños públicos)
9603,Pompas fúnebres y actividades conexas (servicios funerarios)
9411,Actividades de asociaciones empresariales y de empleadores 
9420,Actividades de sindicatos 
9412,Actividades de asociaciones profesionales 
9491,Actividades de organizaciones religiosas 
9492,Actividades de organizaciones políticas 
9499,Actividades de otras asociaciones n.c.p. 
9700,Actividades de los hogares como empleadores de personal doméstico 
8411,Actividades de la administración pública en general (órganos legislativos)
8413,Regulación y facilitación de la actividad económica 
8412,"Regulación de las actividades de organismos que prestan servicios sanitarios, educativos, culturales y otros servicios sociales, excepto servicios de seguridad social (regulación y fomento de actividades para mejorar y preservar el medio ambiente)"
8430,Actividades de planes de seguridad social de afiliación obligatoria 
8421,Relaciones exteriores 
8422,Actividades de defensa 
9900,Actividades de organizaciones y órganos extraterritoriales (organismos internacionales)
